Date,Open,High,Low,Close,Adj Close,Volume,Returns,Previous_Return,Returns_cat,PLUS_DM,MINUS_DM,PLUS_DI,MINUS_DI,DX,ADX,ADXR,APO,PPO,AROON_UP,AROON_DOWN,AROONOSC,BOP,CCI,CMO,MACD,MACD_SIGNAL,MACD_HIST,MFI,MOM,RSI,STOCH_SLOWK,STOCH_SLOWD,ULTOSC,WILLR
2000-03-02,1379.18994140625,1386.56005859375,1370.3499755859375,1381.760009765625,1381.760009765625,1198600000,0.001863462226787016,0.019837044049593633,1,62.15661477937096,83.21556252776358,17.284225040082852,23.14020019707237,14.486229853942682,21.51866370282699,17.827380501068287,-21.701525565905285,-1.5631765251996796,78.57142857142857,0.0,-78.57142857142857,0.15854751379967316,35.63186122347355,-0.019226063284786522,-15.511020145929933,-17.82181545731349,2.3107953113835578,44.96950585803694,-5.9100341796875,49.99038696835761,92.22942648755348,73.56843338196137,55.53403929506718,-38.219205053093134
2000-03-03,1381.760009765625,1410.8800048828125,1381.760009765625,1409.1700439453125,1409.1700439453125,1150300000,0.019837044049593633,-0.012695426449990443,2,82.03680286990696,77.27159377578047,22.596686274040685,21.28412982177455,2.9911851443239463,20.19527237721963,17.49644801390237,-21.303580259665523,-1.534296302524042,71.42857142857143,0.0,-71.42857142857143,0.9412788041131666,108.62304532835472,13.624794462684745,-11.298806909013365,-16.517213747653464,5.2184068386400995,52.30220154988026,20.9100341796875,56.81239723134237,94.29604399897885,88.3436001348454,60.57127169264701,-1.992727852098851
2000-03-06,1409.1700439453125,1409.739990234375,1384.75,1391.280029296875,1391.280029296875,1029000000,-0.012695426449990443,-0.02563109757114057,2,76.17703123634217,71.75219422036758,21.037222805220075,19.815249716074103,2.9911851443239437,18.966409003441367,16.840878006575956,-20.72274702023219,-1.4927653818657678,64.28571428571429,92.85714285714286,28.571428571428573,-0.7158872204691331,85.47962610313772,3.6832621250496156,-9.297002186415511,-15.073171435405873,5.776169248990362,51.933284784081,45.1900634765625,51.841631062524804,86.33526260647922,90.95357769767053,56.2138727608304,-22.841116655950014
2000-03-07,1391.280029296875,1399.2099609375,1349.989990234375,1355.6199951171875,1355.6199951171875,1314100000,-0.02563109757114057,0.008173349533495022,1,70.73581471946059,101.38704725596632,18.350956291806344,26.302789896864997,17.807763701304044,18.88364862471727,16.761297948236432,-23.26813135391626,-1.6763332832522955,57.142857142857146,85.71428571428572,28.571428571428573,-0.7245033605317328,-2.2916952990587123,-12.711114558422265,-10.467363011404814,-14.15200975060566,3.684646739200847,44.104634571905315,3.449951171875,43.64444272078886,58.68606258174635,79.7724563957348,51.38670961423888,-64.39805620835443
2000-03-08,1355.6199951171875,1373.7900390625,1346.6199951171875,1366.699951171875,1366.699951171875,1203000000,0.008173349533495022,0.025601808359159595,1,65.68325652521341,97.51511042629909,17.056231547358855,25.322135210497176,19.50500761477789,18.9280314097216,16.865166437194762,-20.48293989132594,-1.4768124468129449,50.0,78.57142857142857,28.571428571428573,0.4078004465870238,-18.528558163593342,-7.047375366879222,-10.381155049282825,-13.397838810341094,3.0166837610582693,43.65311049316289,6.010009765625,46.47631231656039,36.43296574643434,60.484763644886634,52.98583822607823,-51.48586824779929
2000-03-09,1366.699951171875,1401.8199462890625,1357.8800048828125,1401.68994140625,1401.68994140625,1123000000,0.025601808359159595,-0.004722866963392747,0,89.02150257140352,90.54974539584916,22.170506202253318,22.551109944486768,0.8510509570687642,17.6368185202464,16.903859106305646,-16.064355312249745,-1.1584779547496682,42.85714285714286,71.42857142857143,28.571428571428573,0.7963139939325917,89.02358950348747,8.57637852779211,-7.404085145171166,-12.199088077307108,4.795002932135942,50.61461702264829,48.2598876953125,54.28818926389606,42.064265467418544,45.72776459853307,58.89708465424259,-10.709774153716591
2000-03-10,1401.68994140625,1413.4599609375,1392.0699462890625,1395.0699462890625,1395.0699462890625,1138800000,-0.004722866963392747,-0.008207438775620024,2,94.30283846474076,84.0819064390028,23.92013400551851,21.32757085792715,5.729711938794531,16.786310907285554,17.29962820954144,-12.658968411959222,-0.9132550147414934,35.714285714285715,100.0,64.28571428571429,-0.3094899758598846,117.16811425249334,5.4408076595275014,-5.515336709472649,-10.862337803740216,5.347001094267567,57.517686587451756,61.7099609375,52.720403829763754,63.14436933079234,47.21386684821507,55.994790807000705,-20.805534111044054
2000-03-13,1395.0699462890625,1398.3900146484375,1364.8399658203125,1383.6199951171875,1383.6199951171875,1016100000,-0.008207438775620024,-0.017685470569578254,2,87.56692143154498,105.30603644782403,21.91197453451826,26.350854309519377,9.197305423901799,16.24423908704386,17.441350436379885,-8.552756285056148,-0.6177296109265953,28.571428571428573,92.85714285714286,64.28571428571429,-0.34127971707380966,41.02194878293722,0.05853073309151423,-4.8860816273004275,-9.667086568452259,4.781004941151831,57.29666173400933,35.5699462890625,50.02926536654575,71.18040962156302,58.796348139924625,54.863630231101,-33.759430789776424
2000-03-14,1383.6199951171875,1395.1500244140625,1359.1500244140625,1359.1500244140625,1359.1500244140625,1094000000,-0.017685470569578254,0.02427251564712085,1,81.31214132929178,103.47411810780088,19.974221284488483,25.418281925850167,11.993303423111811,15.940600825334428,17.858127216455337,-3.895125951522459,-0.28183918705264216,21.42857142857143,85.71428571428572,64.28571428571429,-0.6797214084201388,-7.189734426224199,-10.460733097460478,-6.289414121833033,-8.991552079128414,2.702137957295381,50.78180070328639,-7.27001953125,44.769633451269755,48.862971560135094,61.06258350416348,45.48853783346335,-61.44352022052477
2000-03-15,1359.1500244140625,1397.989990234375,1356.989990234375,1392.1400146484375,1392.1400146484375,1302800000,0.02427251564712085,0.047646038011081915,1,78.34409705465487,96.08310967152939,18.697523372617916,22.931098274627317,10.169865670509314,15.528405457132635,18.19070939284252,1.013652312449949,0.07341030502129035,14.285714285714286,78.57142857142857,64.28571428571429,0.8046339081554879,32.72243050268812,4.167079000141581,-4.685536779800714,-8.130349019262875,3.444812239462161,58.52569690214613,12.9500732421875,52.083539500070785,45.44931041338557,55.16423053169456,51.06661954551072,-24.120310844907614
